Rommelshausen;Rommelshausen;7701;de:08119:7701;8119093;Kernen im Remstal;Rommelshausen;WN;2,32;"Bus;Nachtbus;R-Bahn;Ruftaxi;S-Bahn;SEV-Bus";S2,IRE1,MEX13,210,211,N21,SEV A,RT225;10002_,11001_,11013_,31210_,31211_,34021_,36002e,51225_;8;10,11,31,34,36,51;9,319175885;48,81552017
Grunbach;Grunbach;1703;de:08119:1703;8119090;Remshalden;Grunbach;WN;42,3;"Bus;R-Bahn;Ruftaxi;S-Bahn;SEV-Bus";S2,IRE1,MEX13,217,217A,333,SEV A,RT217;10002_,11001_,11013_,31217_,31217a,31333_,36002e,50217_;8;10,11,31,36,50;9,419580601;48,810414
Stetten-Beinstein;Stetten-Beinstein;1701;de:08119:1701;8119091;Weinstadt;Endersbach;WN;32,42,2,3;"Nachtbus;R-Bahn;S-Bahn";S2,IRE1,MEX13,N21;10002_,11001_,11013_,34021_;4;10,11,34;9,352769725;48,81199601
Schorndorf;Schorndorf;7703;de:08119:7703;8119067;Schorndorf;Schorndorf;WN;4,52;"Bus;R-Bahn;Ruftaxi;S-Bahn;SEV-Bus";S2,IRE1,MEX13,RB61,217A,228,242,242A,243,244,245,246,247,248,249,262,263,265,935,SEV A,RT260;10002_,11001_,11013_,12061_,31217a,31228_,31242_,31242a,31243_,31244_,31245_,31246_,31247_,31248_,31249_,31262_,31263_,31265_,31935_,36002e,50260_;21;10,11,12,31,36,50;9,525686251;48,80693898
Beutelsbach;Beutelsbach;3711;de:08119:3711;8119091;Weinstadt;Beutelsbach;WN;42,3;"R-Bahn;S-Bahn;SEV-Bus";S2,IRE1,MEX13,SEV A;10002_,11001_,11013_,36002e;4;10,11,36;9,38551589;48,81038925
Filderstadt;Filderstadt;1905;de:08116:1905;8116077;Filderstadt;Bernhausen;ES;38,39,2;S-Bahn;S2,S23;10002_,10023_;2;10;9,217581315;48,67649151
Fellbach;Fellbach;6500;de:08119:6500;8119020;Fellbach;Fellbach;WN;20,32,1,2;"Bus;Nachtbus;R-Bahn;S-Bahn;SEV-Bus";S2,S3,S23,IRE1,MEX13,MEX19,RE90,60,S3E,210,212,214,215,N6,SEV A;10002_,10003_,10023_,11001_,11013_,11019_,11090_,30060_,31003e,31210_,31212_,31214_,31215_,33006_,36002e;15;10,11,30,31,33,36;9,270645988;48,8202936
Waiblingen;Waiblingen;7604;de:08119:7604;8119079;Waiblingen;Waiblingen;WN;2,32;"Bus;Nachtbus;R-Bahn;S-Bahn;SEV-Bus";S2,S3,S23,IRE1,MEX13,MEX19,RE90,S3E,201,201A,204,205,206,207,208,209,211,216,218,431,X43,N21,N24,N31,X20,SEV A;10002_,10003_,10023_,11001_,11013_,11019_,11090_,31003e,31201_,31201a,31204_,31205_,31206_,31207_,31208_,31209_,31211_,31216_,31218_,31431_,31X43_,34021_,34024_,34031_,35X20_,36002e;26;10,11,31,34,35,36;9,300449906;48,82628944
Sommerrain;Sommerrain;1300;de:08111:1300;8111000;Stuttgart;Stuttgart;S;20,1;"Bus;R-Bahn;S-Bahn;SEV-Bus";S2,S3,S23,MEX19,RE90,54,58,S3E,SEV A;10002_,10003_,10023_,11019_,11090_,30054_,30058_,31003e,36002e;9;10,11,30,31,36;9,248369749;48,81521824
Nürnberger Straße;Nürnberger Straße;34;de:08111:34;8111000;Stuttgart;Stuttgart;S;1,2;"Nachtbus;R-Bahn;S-Bahn;SEV-Bus;Stadtbahn";S2,S3,S23,MEX19,RE90,U1,U16,S3E,N6,SEV A;10002_,10003_,10023_,11019_,11090_,20001_,20016_,31003e,33006_,36002e;10;10,11,20,31,33,36;9,234576905;48,80656062
Echterdingen;Echterdingen;7003;de:08116:7003;8116078;Leinfelden-Echterdingen;Echterdingen;ES;38,2;"Bus;S-Bahn";S2,S3,S23,S30,76,77,818,818A,828,X82;10002_,10003_,10023_,10030_,30076_,30077_,31818_,31818a,31828_,31X82_;10;10,30,31;9,169307175;48,69214787
Oberaichen;Oberaichen;2105;de:08116:2105;8116078;Leinfelden-Echterdingen;Leinfelden;ES;2,38;"Bus;Nachtbus;S-Bahn";S2,S3,S23,S30,818,818A,N18;10002_,10003_,10023_,10030_,31818_,31818a,34018_;7;10,31,34;9,12743664;48,70512422
Leinfelden;Leinfelden;175;de:08116:175;8116078;Leinfelden-Echterdingen;Leinfelden;ES;2,38;"Bus;Nachtbus;S-Bahn;Stadtbahn";S2,S3,S23,S30,U5,82,86,818,818A,819,826,826A,N18;10002_,10003_,10023_,10030_,20005_,30082_,30086_,31818_,31818a,31819_,31826_,31826a,34018_;13;10,20,30,31,34;9,142859698;48,6964193
